f,signal,A,B,gamma,gammadot,K,lnBFmax,Popt,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B.1,V,R,J,H,K.1,u,g,r,i,z,RA,DEC
S9/tess2019058134432-s0009-0000000106631948-0139-s_lc_GLST.Robj,sig2,0.01322138143116,4.19161138358576,-2.12337111873413,0.172001047382724,4.19163223529124,244.825746460638,12.4631058313092,TIC106631948,0.064773,TYC 7723-2155-1,160.4323090524,-38.2067342914,0,0,90,2,10 41 43.75417,-38 12 24.2434,Star,*  |*  |IR,16.92,NA,,NA,11.2292,-20.73,25.69,NA,NA,NA,12.06,11.06,NA,9.496,9.01,8.952,NA,NA,NA,NA,NA,160.432305,-38.206752
S9/tess2019058134432-s0009-0000000106631948-0139-s_lc_GLST.Robj,sig3,0.605642415784064,-2.24909150077185,0.579357244444366,-0.0309710508752579,2.32920916077559,69.8747256301346,7.4584981038806,TIC106631948,0.064773,TYC 7723-2155-1,160.4323090524,-38.2067342914,0,0,90,2,10 41 43.75417,-38 12 24.2434,Star,*  |*  |IR,16.92,NA,,NA,11.2292,-20.73,25.69,NA,NA,NA,12.06,11.06,NA,9.496,9.01,8.952,NA,NA,NA,NA,NA,160.432305,-38.206752
S9/tess2019058134432-s0009-0000000106634289-0139-s_lc_GLST.Robj,sig1,-9.23289980270094,8.80259550455696,-0.350321483935239,-0.0889511760833086,12.7566502806795,185.015284995895,4.32158976863839,TIC106634289,0.027088,HD  92755,160.48329174,-40.6913398385,0,0,90,21,10 41 55.99002,-40 41 28.8234,PM*,*  |IR |PM*,39.1,NA,A(7m)A9-F0,NA,11.3197,-110.07,18.44,NA,NA,NA,7.9,7.45,NA,6.592,6.481,6.342,NA,NA,NA,NA,NA,160.483298,-40.691334
S9/tess2019058134432-s0009-0000000106634289-0139-s_lc_GLST.Robj,sig2,-3.7416045208931,-9.03698105665876,0.850722008886036,-0.0620830264641018,9.78093201127464,108.230143476884,2.75208240796493,TIC106634289,0.027088,HD  92755,160.48329174,-40.6913398385,0,0,90,21,10 41 55.99002,-40 41 28.8234,PM*,*  |IR |PM*,39.1,NA,A(7m)A9-F0,NA,11.3197,-110.07,18.44,NA,NA,NA,7.9,7.45,NA,6.592,6.481,6.342,NA,NA,NA,NA,NA,160.483298,-40.691334
S9/tess2019058134432-s0009-0000000106634289-0139-s_lc_GLST.Robj,sig3,6.59489991771296,3.4285496002267,-0.424449748023554,0.0332731390720292,7.43287678398243,58.5324641024886,2.21625810361356,TIC106634289,0.027088,HD  92755,160.48329174,-40.6913398385,0,0,90,21,10 41 55.99002,-40 41 28.8234,PM*,*  |IR |PM*,39.1,NA,A(7m)A9-F0,NA,11.3197,-110.07,18.44,NA,NA,NA,7.9,7.45,NA,6.592,6.481,6.342,NA,NA,NA,NA,NA,160.483298,-40.691334
S9/tess2019058134432-s0009-0000000106737898-0139-s_lc_GLST.Robj,sig1,-9.18376111560985,-15.4636149396706,0.118116099798653,-0.0647889366397729,17.9851287243375,813.809903339703,3.95058261418599,TIC106737898,0.066664,HD  92791,160.5822927905,-36.2023701132,0.009,0.009,90,18,10 42 19.75027,-36 12 08.5324,**,IR |*  |**,-2,NA,F7/8V,NA,11.77,-52.11,13.44,0.005,0,127,9.02,8.51,NA,7.475,7.256,7.144,NA,NA,NA,NA,NA,160.582281,-36.202386
S9/tess2019058134432-s0009-0000000106737898-0139-s_lc_GLST.Robj,sig2,-2.77469381841976,11.431867814247,-0.291166887998417,0.0234861347698074,11.7637803238752,328.202605223061,5.18997562136533,TIC106737898,0.066664,HD  92791,160.5822927905,-36.2023701132,0.009,0.009,90,18,10 42 19.75027,-36 12 08.5324,**,IR |*  |**,-2,NA,F7/8V,NA,11.77,-52.11,13.44,0.005,0,127,9.02,8.51,NA,7.475,7.256,7.144,NA,NA,NA,NA,NA,160.582281,-36.202386
S9/tess2019058134432-s0009-0000000106737898-0139-s_lc_GLST.Robj,sig3,1.13101693819864,-7.11938701392905,0.35064788504897,-0.0330936779397884,7.20866636546551,122.679661188636,2.91154555706487,TIC106737898,0.066664,HD  92791,160.5822927905,-36.2023701132,0.009,0.009,90,18,10 42 19.75027,-36 12 08.5324,**,IR |*  |**,-2,NA,F7/8V,NA,11.77,-52.11,13.44,0.005,0,127,9.02,8.51,NA,7.475,7.256,7.144,NA,NA,NA,NA,NA,160.582281,-36.202386
S9/tess2019058134432-s0009-0000000106756993-0139-s_lc_GLST.Robj,sig1,-0.187626395732555,2.6471059421693,-1.30526782172989,0.111942143967761,2.65374707412812,75.9467209686565,5.99151687898987,TIC106756993,0.099386,TYC 7731-2094-1,160.7735099394,-41.4440792803,0,0,90,4,10 43 05.64239,-41 26 38.6854,PM*,*  |IR |PM*,-5.15,NA,,NA,10.8254,73.3,-47.58,NA,NA,NA,11.529,10.715,NA,9.21,8.748,8.669,NA,11.061,10.406,10.154,NA,160.773476,-41.44409
S9/tess2019058134432-s0009-0000000106756993-0139-s_lc_GLST.Robj,sig2,-1.31127035305112,-1.58343893704189,0.905702983264041,-0.0837414590580667,2.05589610781556,39.1396601752442,13.0586156822737,TIC106756993,0.099386,TYC 7731-2094-1,160.7735099394,-41.4440792803,0,0,90,4,10 43 05.64239,-41 26 38.6854,PM*,*  |IR |PM*,-5.15,NA,,NA,10.8254,73.3,-47.58,NA,NA,NA,11.529,10.715,NA,9.21,8.748,8.669,NA,11.061,10.406,10.154,NA,160.773476,-41.44409
S9/tess2019058134432-s0009-0000000106756993-0139-s_lc_GLST.Robj,sig3,0.520788238201273,0.724256060725608,-0.00244457685955416,8.98052610935369e-05,0.892057862779406,-1.32144593622822,0.127188015443873,TIC106756993,0.099386,TYC 7731-2094-1,160.7735099394,-41.4440792803,0,0,90,4,10 43 05.64239,-41 26 38.6854,PM*,*  |IR |PM*,-5.15,NA,,NA,10.8254,73.3,-47.58,NA,NA,NA,11.529,10.715,NA,9.21,8.748,8.669,NA,11.061,10.406,10.154,NA,160.773476,-41.44409
S9/tess2019058134432-s0009-0000000106760817-0139-s_lc_GLST.Robj,sig1,-25.2894721807054,75.7871489715591,-16.0507115755569,1.2086142531042,79.8952398608075,53186.654604772,8.86127620871972,TIC106760817,0.10629,TYC 7723-354-1,160.9902255583,-38.7835007972,0,0,90,2,10 43 57.65413,-38 47 00.6029,Star,*  |*  |IR,-12.26,NA,,NA,14.2462,-31.74,-8.63,NA,NA,NA,11.44,10.49,NA,8.905,8.45,8.362,NA,NA,NA,NA,NA,160.990205,-38.783476
S9/tess2019058134432-s0009-0000000106760817-0139-s_lc_GLST.Robj,sig2,50.769491420662,4.2290444069357,-6.21090528023883,0.369419642192102,50.945324375339,22624.455359197,4.98900465486427,TIC106760817,0.10629,TYC 7723-354-1,160.9902255583,-38.7835007972,0,0,90,2,10 43 57.65413,-38 47 00.6029,Star,*  |*  |IR,-12.26,NA,,NA,14.2462,-31.74,-8.63,NA,NA,NA,11.44,10.49,NA,8.905,8.45,8.362,NA,NA,NA,NA,NA,160.990205,-38.783476
S9/tess2019058134432-s0009-0000000106760817-0139-s_lc_GLST.Robj,sig3,12.2271375864472,21.8352907338785,-0.924617782071263,0.0649789023014138,25.025643148397,5661.2252753707,0.901430982192875,TIC106760817,0.10629,TYC 7723-354-1,160.9902255583,-38.7835007972,0,0,90,2,10 43 57.65413,-38 47 00.6029,Star,*  |*  |IR,-12.26,NA,,NA,14.2462,-31.74,-8.63,NA,NA,NA,11.44,10.49,NA,8.905,8.45,8.362,NA,NA,NA,NA,NA,160.990205,-38.783476
S9/tess2019058134432-s0009-0000000106802788-0139-s_lc_GLST.Robj,sig1,-70.2244472475933,-0.0341596669361446,11.5636392785749,-0.580659050799864,70.2244555558309,2948.80617173776,7.19546212863197,TIC106802788,0.196337,HD  93105,161.1641439289,-36.9306417435,0,0,90,19,10 44 39.39454,-36 55 50.3103,PM*,*  |IR |PM*,5.98,NA,F7V,NA,14.9378,97.1,-19.65,NA,NA,NA,7.18,6.68,NA,5.726,5.536,5.433,NA,NA,NA,NA,NA,161.164208,-36.930623
S9/tess2019058134432-s0009-0000000106802788-0139-s_lc_GLST.Robj,sig2,45.1343492091209,12.2496623854181,2.61870539513633,-0.221277456283022,46.7671220740341,1302.01815117819,3.83872765655055,TIC106802788,0.196337,HD  93105,161.1641439289,-36.9306417435,0,0,90,19,10 44 39.39454,-36 55 50.3103,PM*,*  |IR |PM*,5.98,NA,F7V,NA,14.9378,97.1,-19.65,NA,NA,NA,7.18,6.68,NA,5.726,5.536,5.433,NA,NA,NA,NA,NA,161.164208,-36.930623
S9/tess2019058134432-s0009-0000000106802788-0139-s_lc_GLST.Robj,sig3,-22.3189151480898,-24.6761933088552,-0.64019149701816,0.0662180451637386,33.2723382046352,657.903216036784,5.53646221662826,TIC106802788,0.196337,HD  93105,161.1641439289,-36.9306417435,0,0,90,19,10 44 39.39454,-36 55 50.3103,PM*,*  |IR |PM*,5.98,NA,F7V,NA,14.9378,97.1,-19.65,NA,NA,NA,7.18,6.68,NA,5.726,5.536,5.433,NA,NA,NA,NA,NA,161.164208,-36.930623
S9/tess2019058134432-s0009-0000000106907061-0139-s_lc_GLST.Robj,sig1,-18.6922357268954,-4.5469185028975,5.00303630739254,-0.386018125788914,19.2373112555215,4452.32016793462,6.86733754143397,TIC106907061,0.168522,CD-36  6675,161.6545342927,-37.2770961261,0.001,0.001,90,0,10 46 37.08823,-37 16 37.5461,Star,*  |IR,-5.17,NA,,NA,19.4651,-4.14,-27.03,NA,NA,NA,10.9,10.4,NA,9.335,9.053,8.968,NA,NA,NA,NA,NA,161.654489,-37.277126
S9/tess2019058134432-s0009-0000000106907061-0139-s_lc_GLST.Robj,sig2,3.99642691283718,6.47490594252038,-3.56919807387937,0.3172256317637,7.60893126753916,619.810044747802,12.9187059869183,TIC106907061,0.168522,CD-36  6675,161.6545342927,-37.2770961261,0.001,0.001,90,0,10 46 37.08823,-37 16 37.5461,Star,*  |IR,-5.17,NA,,NA,19.4651,-4.14,-27.03,NA,NA,NA,10.9,10.4,NA,9.335,9.053,8.968,NA,NA,NA,NA,NA,161.654489,-37.277126
S9/tess2019058134432-s0009-0000000106907061-0139-s_lc_GLST.Robj,sig3,3.5799916227913,0.645123647008831,-0.022626097234956,-0.0155895548527875,3.63765371347877,138.953646330467,4.51184739961579,TIC106907061,0.168522,CD-36  6675,161.6545342927,-37.2770961261,0.001,0.001,90,0,10 46 37.08823,-37 16 37.5461,Star,*  |IR,-5.17,NA,,NA,19.4651,-4.14,-27.03,NA,NA,NA,10.9,10.4,NA,9.335,9.053,8.968,NA,NA,NA,NA,NA,161.654489,-37.277126
S9/tess2019058134432-s0009-0000000106989553-0139-s_lc_GLST.Robj,sig1,2.99982741372146,2.33731581218471,-0.0977628149950641,0.030283276197866,3.80289491282673,220.475949117726,12.1537985905194,TIC106989553,0.092972,2MASS J10471071-4142355,161.794667906,-41.7098720449,0,0,90,1,10 47 10.72030,-41 42 35.5394,PM*,IR |PM*|*,-0.86,NA,,NA,25.0437,-28.69,-101.01,NA,NA,NA,NA,NA,NA,9.194,8.519,8.36,NA,NA,NA,NA,NA,161.794659,-41.709897
S9/tess2019058134432-s0009-0000000106989553-0139-s_lc_GLST.Robj,sig2,-2.39256716440263,1.48111450460234,-0.402780429718333,0.0474398611805408,2.81390792527422,129.44934905859,7.92792658285323,TIC106989553,0.092972,2MASS J10471071-4142355,161.794667906,-41.7098720449,0,0,90,1,10 47 10.72030,-41 42 35.5394,PM*,IR |PM*|*,-0.86,NA,,NA,25.0437,-28.69,-101.01,NA,NA,NA,NA,NA,NA,9.194,8.519,8.36,NA,NA,NA,NA,NA,161.794659,-41.709897
S9/tess2019058134432-s0009-0000000106989553-0139-s_lc_GLST.Robj,sig3,-0.999851280576645,-0.806465785446739,0.266172849491714,0.00957501391505786,1.28455815219358,14.3991616475243,18.4989007551992,TIC106989553,0.092972,2MASS J10471071-4142355,161.794667906,-41.7098720449,0,0,90,1,10 47 10.72030,-41 42 35.5394,PM*,IR |PM*|*,-0.86,NA,,NA,25.0437,-28.69,-101.01,NA,NA,NA,NA,NA,NA,9.194,8.519,8.36,NA,NA,NA,NA,NA,161.794659,-41.709897
S9/tess2019058134432-s0009-0000000107012050-0139-s_lc_GLST.Robj,sig1,-1.2906524001033,-0.556160544126193,0.220087031274308,-0.0186726935145215,1.40538185869007,91.9014462106536,0.253628488399314,TIC107012050,0.971922,DENIS J1048.0-3956,162.0607226113,-39.9352342252,0,0,90,110,10 48 14.57343,-39 56 06.8432,brownD*,*  |BD*|Rad|Rad|PM*|*  |PM*|PM*|IR,-11,NA,M8.5Ve:,NA,247.2157,-1179.18,-988.1,NA,NA,NA,NA,17.532,15.051,9.538,8.9,8.447,NA,NA,NA,NA,NA,162.060998,-39.935066
S9/tess2019058134432-s0009-0000000107012050-0139-s_lc_GLST.Robj,sig2,-0.267128551267403,-0.527130237637835,0.0442423820909701,-0.00365464245200766,0.590951732660411,6.87763117585505,2.73915874381369,TIC107012050,0.971922,DENIS J1048.0-3956,162.0607226113,-39.9352342252,0,0,90,110,10 48 14.57343,-39 56 06.8432,brownD*,*  |BD*|Rad|Rad|PM*|*  |PM*|PM*|IR,-11,NA,M8.5Ve:,NA,247.2157,-1179.18,-988.1,NA,NA,NA,NA,17.532,15.051,9.538,8.9,8.447,NA,NA,NA,NA,NA,162.060998,-39.935066
S9/tess2019058134432-s0009-0000000107012050-0139-s_lc_GLST.Robj,sig3,0.148649151898307,-0.556476287573631,0.0199195875478027,-0.0023117965234167,0.575988219490483,5.97829255110001,1.4199460388549,TIC107012050,0.971922,DENIS J1048.0-3956,162.0607226113,-39.9352342252,0,0,90,110,10 48 14.57343,-39 56 06.8432,brownD*,*  |BD*|Rad|Rad|PM*|*  |PM*|PM*|IR,-11,NA,M8.5Ve:,NA,247.2157,-1179.18,-988.1,NA,NA,NA,NA,17.532,15.051,9.538,8.9,8.447,NA,NA,NA,NA,NA,162.060998,-39.935066
S9/tess2019058134432-s0009-0000000118307280-0139-s_lc_GLST.Robj,sig1,-224.481678708994,55.9491767125997,-4.96235480885416,0.422151044600844,231.348945212261,973102.075189681,1.59854646281111,TIC118307280,0.347027,TYC 8576-789-1,128.5707710864,-57.0157248395,0,0,90,3,08 34 16.98506,-57 00 56.6094,PM*,X  |*  |IR |PM*,20.54,NA,K6Ve,NA,14.2375,-48.16,66.46,NA,NA,NA,13.56,11.54,NA,9.7,9.114,8.936,NA,NA,NA,NA,NA,128.5706,-57.0157
S9/tess2019058134432-s0009-0000000118307280-0139-s_lc_GLST.Robj,sig2,-29.8086531791076,-2.70340104220835,-0.0171030199607508,0.0128368268220825,29.9309903201904,16090.6985580037,0.80231727110571,TIC118307280,0.347027,TYC 8576-789-1,128.5707710864,-57.0157248395,0,0,90,3,08 34 16.98506,-57 00 56.6094,PM*,X  |*  |IR |PM*,20.54,NA,K6Ve,NA,14.2375,-48.16,66.46,NA,NA,NA,13.56,11.54,NA,9.7,9.114,8.936,NA,NA,NA,NA,NA,128.5706,-57.0157
S9/tess2019058134432-s0009-0000000118307280-0139-s_lc_GLST.Robj,sig3,-8.51266661384228,-16.0873548412899,3.76365948370571,-0.21809066507427,18.2007823641732,6132.60586983145,6.55415798446215,TIC118307280,0.347027,TYC 8576-789-1,128.5707710864,-57.0157248395,0,0,90,3,08 34 16.98506,-57 00 56.6094,PM*,X  |*  |IR |PM*,20.54,NA,K6Ve,NA,14.2375,-48.16,66.46,NA,NA,NA,13.56,11.54,NA,9.7,9.114,8.936,NA,NA,NA,NA,NA,128.5706,-57.0157
