file,ID,angDist,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,RA,DEC,signal,A,B,gamma,gammadot,K,lnBFmax,Popt
S7/tess2019006130736-s0007-0000000004827953-0131-s_lc.dat,TIC4827953,0.351868,*  21 Mon,107.8483989626,-0.3019287019,0,0,90,101,07 11 23.61575,-00 18 06.9433,PulsV*delSct,dS*|V* |IR |UV |UV |dS*|*,34.5,NA,F2IV,NA,11.6824,-26.24,-10.45,NA,NA,NA,5.715,5.428,NA,4.955,4.775,4.644,NA,NA,NA,NA,NA,107.848327517996,-0.301862,sig3,19.1761420784323,5.23694846063863,1.13890568014593,-0.0859912558675898,19.8783815787806,2798.9032522737,3.86809815922847
S7/tess2019006130736-s0007-0000000004978455-0131-s_lc.dat,TIC4978455,1.750662,SCR J0727-0842,111.9051917945,-8.7157220586,0,0,90,1,07 27 37.24603,-08 42 56.5994,PM*,PM*|IR |*,NA,NA,,NA,20.5632,87.93,-247.56,NA,NA,NA,18.22,NA,15.67,12.414,11.801,11.549,NA,NA,NA,NA,NA,111.905683264231,-8.7157,sig1,-222.127468066911,-222.495963508149,131.51442558833,-11.8223568864944,314.396351517056,29834.5215231273,6.27533894888303
S7/tess2019006130736-s0007-0000000004978455-0131-s_lc.dat,TIC4978455,1.750662,SCR J0727-0842,111.9051917945,-8.7157220586,0,0,90,1,07 27 37.24603,-08 42 56.5994,PM*,PM*|IR |*,NA,NA,,NA,20.5632,87.93,-247.56,NA,NA,NA,18.22,NA,15.67,12.414,11.801,11.549,NA,NA,NA,NA,NA,111.905683264231,-8.7157,sig2,76.9712766956907,244.126178360644,-132.920327913788,10.4041656828696,255.972983725114,18794.4287821494,13.181128097556
S7/tess2019006130736-s0007-0000000004978455-0131-s_lc.dat,TIC4978455,1.750662,SCR J0727-0842,111.9051917945,-8.7157220586,0,0,90,1,07 27 37.24603,-08 42 56.5994,PM*,PM*|IR |*,NA,NA,,NA,20.5632,87.93,-247.56,NA,NA,NA,18.22,NA,15.67,12.414,11.801,11.549,NA,NA,NA,NA,NA,111.905683264231,-8.7157,sig3,-128.922786661316,-28.2373717584553,11.7512256430258,-0.883958089416047,131.978915302197,5297.54693050295,3.63613983246954
S7/tess2019006130736-s0007-0000000005051420-0131-s_lc.dat,TIC5051420,1.543083,UCAC4 418-034472,112.2095700264,-6.4895163915,0,0,90,2,07 28 50.29681,-06 29 22.2590,PM*,IR |PM*|*  |PM*,5.59,NA,,NA,22.7716,-86.21,48.01,NA,NA,NA,NA,12.815,12.305,9.722,9.13,8.901,NA,13.536,12.215,11.377,NA,112.20913894367,-6.4895,sig1,20.02282130493,21.3608843436394,1.51715587993512,-0.0860538438567482,29.2779909309279,3373.09855815602,3.92528035187752
S7/tess2019006130736-s0007-0000000005051420-0131-s_lc.dat,TIC5051420,1.543083,UCAC4 418-034472,112.2095700264,-6.4895163915,0,0,90,2,07 28 50.29681,-06 29 22.2590,PM*,IR |PM*|*  |PM*,5.59,NA,,NA,22.7716,-86.21,48.01,NA,NA,NA,NA,12.815,12.305,9.722,9.13,8.901,NA,13.536,12.215,11.377,NA,112.20913894367,-6.4895,sig2,8.52965758618479,-17.7586780965639,0.0925487625729871,0.00450121155801729,19.700906229789,1491.33281447727,1.39766025824511
S7/tess2019006130736-s0007-0000000005051420-0131-s_lc.dat,TIC5051420,1.543083,UCAC4 418-034472,112.2095700264,-6.4895163915,0,0,90,2,07 28 50.29681,-06 29 22.2590,PM*,IR |PM*|*  |PM*,5.59,NA,,NA,22.7716,-86.21,48.01,NA,NA,NA,NA,12.815,12.305,9.722,9.13,8.901,NA,13.536,12.215,11.377,NA,112.20913894367,-6.4895,sig3,1.8746568850082,-9.92174775938511,1.31263364007867,-0.111574345351441,10.0972975115806,379.886915947154,5.77162407177878
S7/tess2019006130736-s0007-0000000005275596-0131-s_lc.dat,TIC5275596,0.612741,2MASS J07313756-0954505,112.906508465,-9.9141677675,0,0,90,1,07 31 37.56203,-09 54 51.0040,PM*,PM*|PM*|IR |*,NA,NA,,NA,35.0943,22.89,-455.19,NA,NA,NA,18,NA,15.68,11.566,11.031,10.68,NA,NA,NA,NA,NA,112.906537607739,-9.914,sig1,23.4538964797948,-11.5674157476509,2.66591688327259,-0.219033073237539,26.1512976191227,3013.94115175533,1.97333755991981
S7/tess2019006130736-s0007-0000000005275596-0131-s_lc.dat,TIC5275596,0.612741,2MASS J07313756-0954505,112.906508465,-9.9141677675,0,0,90,1,07 31 37.56203,-09 54 51.0040,PM*,PM*|PM*|IR |*,NA,NA,,NA,35.0943,22.89,-455.19,NA,NA,NA,18,NA,15.68,11.566,11.031,10.68,NA,NA,NA,NA,NA,112.906537607739,-9.914,sig2,-20.5126263535945,-9.64872185705016,1.96357249157727,-0.165932649953341,22.6686054577007,2394.04441274313,4.32989237749059
S7/tess2019006130736-s0007-0000000005275596-0131-s_lc.dat,TIC5275596,0.612741,2MASS J07313756-0954505,112.906508465,-9.9141677675,0,0,90,1,07 31 37.56203,-09 54 51.0040,PM*,PM*|PM*|IR |*,NA,NA,,NA,35.0943,22.89,-455.19,NA,NA,NA,18,NA,15.68,11.566,11.031,10.68,NA,NA,NA,NA,NA,112.906537607739,-9.914,sig3,17.0133056015822,6.23145529830216,0.116515559893541,0.0213177897862721,18.1185982522811,1500.97278468469,2.4280646863459
